Temp(K)              H2O_1                      H2O_2                      H2O_3                      H2O_4                      H2O_5                      H2O_6                      CO2_1                      CO2_2                      CO2_3                      CO2_4                      CO2_5                      CO2_6                      CO2_7                      CO2_8                      CO2_9                      CO210                       O3_1                       O3_2                       O3_3                       O3_4                       O3_5                      N2O_1                      N2O_2                      N2O_3                      N2O_4                      N2O_5                       CO_1                       CO_2                       CO_3                       CO_4                       CO_5                       CO_6                      CH4_1                      CH4_2                      CH4_3                      CH4_4                       O2_1                       O2_2                       O2_3                       NO_1                       NO_2                       NO_3                      SO2_1                      SO2_2                      NO2_1                      NH3_1                      NH3_2                     HNO3_1                       OH_1                       OH_2                       OH_3                       HF_1                      HCl_1                      HCl_2                      HBr_1                      HBr_2                       HI_1                      ClO_1                      ClO_2                      OCS_1                      OCS_2                      OCS_3                      OCS_4                      OCS_5                     H2CO_1                     H2CO_2                     H2CO_3                     HOCl_1                     HOCl_2                       N2_1                      HCN_1                      HCN_2                      HCN_3                    CH3Cl_1                    CH3Cl_2                     H2O2_1                     C2H2_1                     C2H2_2                     C2H2_3                     C2H6_1                     C2H6_2                      PH3_1                                                                                                                                                                                                                                                                                                                                                                                                                                                
  80.0           25.446400                  24.654801                 147.330917                 118.365440                 125.856405                 750.816422                  71.482798                 142.960800                 151.496806                 884.018384                 303.010002                1768.052002                  80.406480                 937.584817                2734.304092                 160.802406                 466.990009                 997.067573                 487.349587                5797.564150                2864.728037                1198.483621                 799.068025                 826.862803                1269.335557                7408.663789                  29.157920                  60.972563                  30.601519                 179.439594                  64.141280                 375.688402                  83.687999                 167.413594                 674.664391                1350.509192                  58.833999                 119.911117                 700.005227                 222.665607                 153.821606                 234.715601                 814.408418                 818.124829                1854.063950                 244.205212                 163.143607               23114.640000                  23.766240                  23.859279                  51.823599                  12.263576                  45.401002                  45.464999                  56.045521                  56.061520                 107.979721                 719.648384                 732.048389                 274.752391                 281.630789                 551.291577                1112.974048                 292.874008                 398.587211                 817.274766                 418.059989                2622.460044                2668.760010                 126.823243                 227.949995                 467.899189                 157.761203                7775.915801                7898.868398                 993.302449                  95.282039                 381.146786                 332.594810                7294.020117                3723.487998                 453.907194
  81.0           25.905912                  25.118185                 150.100121                 120.637114                 128.155541                 764.530758                  72.375510                 144.746352                 153.389158                 895.059039                 306.795363                1790.138082                  81.411011                 949.296130                2768.457853                 162.811542                 475.736649                1015.744517                 496.477571                5906.157920                2918.383559                1213.462005                 809.056906                 837.198754                1285.203219                7501.261552                  29.518517                  61.727009                  30.980196                 181.659578                  64.935379                 380.338498                  85.231520                 170.501498                 687.152246                1375.505241                  59.559167                 121.446809                 708.971835                 226.043191                 156.155590                 238.277425                 829.678435                 833.464701                1888.766510                 248.693901                 166.142631               23549.305600                  23.965146                  24.059971                  52.393839                  12.397381                  45.932722                  45.997519                  56.710950                  56.727148                 109.277678                 728.851281                 741.408965                 278.197607                 285.162260                 558.209720                1126.929809                 296.548489                 406.025179                 832.527918                 425.862949                2671.528045                2718.696809                 128.390509                 230.777675                 473.704678                 159.718771                7921.412441                8046.667119                1013.477105                  96.467257                 385.888018                 336.818842                7433.348113                3794.623518                 462.310121
  82.0           26.368128                  25.584297                 152.885632                 122.922407                 130.468469                 778.327286                  73.268287                 146.532048                 155.281655                 906.100526                 310.581043                1812.225922                  82.415629                 961.008308                2802.614334                 164.820870                 484.536969                1034.536230                 505.661603                6015.418409                2972.368521                1228.442838                 819.047547                 847.536449                1301.073490                7593.874034                  29.879124                  62.481476                  31.358882                 183.879610                  65.729500                 384.988706                  86.784480                 173.608090                 699.715733                1400.652347                  60.284351                 122.982544                 717.938619                 229.436423                 158.500422                 241.855778                 845.043604                 848.900157                1923.681390                 253.209725                 169.159783               23986.774400                  24.165375                  24.261988                  52.966999                  12.531226                  46.464482                  46.530078                  57.376412                  57.392811                 110.575684                 738.067889                 750.783413                 281.643975                 288.694916                 565.130631                1140.890289                 300.224329                 413.508443                 847.874015                 433.713428                2720.896046                2768.939207                 129.957818                 233.605516                 479.510503                 161.676435                8067.799161                8195.369678                1033.814194                  97.652661                 390.629954                 341.044378                7573.720109                3866.292478                 470.763865
  83.0           26.833048                  26.053137                 155.687448                 125.221319                 132.795189                 792.206006                  74.161127                 148.317887                 157.174295                 917.142846                 314.367043                1834.315521                  83.420333                 972.721350                2836.773536                 166.830390                 493.390969                1053.442710                 514.901683                6125.345618                3026.682923                1243.426119                 829.039948                 857.875888                1316.946369                7686.501238                  30.239740                  63.235964                  31.737578                 186.099690                  66.523644                 389.639026                  88.346880                 176.733370                 712.354852                1425.950508                  61.009551                 124.518320                 726.905579                 232.845303                 160.856102                 245.450658                 860.503925                 864.431197                1958.808590                 257.752685                 172.195063               24427.046400                  24.366927                  24.465332                  53.543079                  12.665111                  46.996281                  47.062678                  58.041908                  58.058507                 111.873740                 747.298210                 760.171733                 285.091495                 292.228756                 572.054311                1154.855489                 303.901529                 421.037003                 863.313056                 441.611428                2770.564047                2819.487205                 131.525170                 236.433516                 485.316663                 163.634195                8215.075962                8344.976077                1054.313714                  98.838253                 395.372593                 345.271419                7715.136105                3938.494879                 479.268425
  84.0           27.300672                  26.524705                 158.505569                 127.533850                 135.135701                 806.166918                  75.054031                 150.103871                 159.067079                 928.185997                 318.153362                1856.406881                  84.425123                 984.435255                2870.935457                 168.840102                 502.298650                1072.463959                 524.197812                6235.939546                3081.326766                1258.411848                 839.034109                 868.217071                1332.821856                7779.143161                  30.600365                  63.990473                  32.116284                 188.319817                  67.317811                 394.289458                  89.918720                 179.877337                 725.069602                1451.399726                  61.734767                 126.054137                 735.872715                 236.269831                 163.222630                 249.062066                 876.059397                 880.057821                1994.148111                 262.322781                 175.248471               24870.121600                  24.569802                  24.670003                  54.122079                  12.799035                  47.528121                  47.595318                  58.707438                  58.724236                 113.171846                 756.542243                 769.573926                 288.540166                 295.763780                 578.980758                1168.825409                 307.580089                 428.610859                 878.845041                 449.556948                2820.532048                2870.340803                 133.092565                 239.261676                 491.123160                 165.592051                8363.242843                8495.486314                1074.975665                 100.024033                 400.115937                 349.499963                7857.596102                4011.230719                 487.823801
  85.0           27.771000                  26.999001                 161.339996                 129.860001                 137.490005                 820.210022                  75.946999                 151.889999                 160.960007                 939.229980                 321.940002                1878.500000                  85.430000                 996.150024                2905.100098                 170.850006                 511.260010                1091.599976                 533.549988                6347.200195                3136.300049                1273.400024                 849.030029                 878.559998                1348.699951                7871.799805                  30.961000                  64.745003                  32.494999                 190.539993                  68.112000                 398.940002                  91.500000                 183.039993                 737.859985                1477.000000                  62.459999                 127.589996                 744.840027                 239.710007                 165.600006                 252.690002                 891.710022                 895.780029                2029.699951                 266.920013                 178.320007               25316.000000                  24.774000                  24.875999                  54.703999                  12.933000                  48.060001                  48.127998                  59.373001                  59.389999                 114.470001                 765.799988                 778.989990                 291.989990                 299.299988                 585.909973                1182.800049                 311.260010                 436.230011                 894.469971                 457.549988                2870.800049                2921.500000                 134.660004                 242.089996                 496.929993                 167.550003                8512.299805                8646.900391                1095.800049                 101.209999                 404.859985                 353.730011                8001.100098                4084.500000                 496.429993
  86.0           28.245270                  27.477283                 164.198190                 132.206440                 139.864957                 834.375653                  76.839345                 153.674541                 162.851481                 950.266076                 325.723102                1900.572246                  86.434192                1007.854942                2939.240170                 172.858039                 520.299477                1110.902213                 542.983638                6459.429084                3191.751869                1288.368218                 859.009538                 888.888892                1364.554897                7964.320746                  31.321652                  65.499540                  32.873724                 192.760217                  68.906211                 403.590592                  93.096045                 186.230922                 750.765336                1502.825946                  63.185274                 129.126004                 753.807714                 243.183136                 168.000410                 256.352904                 907.482822                 911.624845                2065.566614                 271.558026                 181.418790               25764.468608                  24.981612                  25.085413                  55.292419                  13.067109                  48.592008                  48.660798                  60.038658                  60.055849                 115.768279                 775.038631                 788.385849                 295.431514                 302.827463                 592.820857                1196.740468                 314.930441                 443.917222                 910.235236                 465.614377                2921.508489                2973.109895                 136.227598                 244.917079                 502.734167                 169.506786                8662.672834                8799.644284                1116.753050                 102.394203                 409.596551                 357.947253                8145.271364                4158.114356                 505.112026
  87.0           28.722232                  27.958280                 167.072619                 134.566434                 142.253635                 848.623088                  77.731762                 155.459243                 164.743115                 961.303088                 329.506558                1922.646469                  87.438477                1019.560827                2973.383225                 174.866283                 529.392389                1130.318724                 552.473092                6572.321794                3247.531696                1303.339075                 868.990981                 899.219683                1380.412698                8056.857854                  31.682313                  66.254098                  33.252458                 194.980490                  69.700444                 408.241293                  94.701479                 189.440446                 763.745941                1528.802232                  63.910564                 130.662052                 762.775576                 246.671746                 170.411545                 260.032156                 923.350514                 927.564985                2101.644612                 276.223044                 184.535613               26215.742464                  25.190526                  25.296132                  55.883726                  13.201256                  49.124053                  49.193637                  60.704348                  60.721732                 117.066606                 784.291302                 797.795907                 298.874281                 306.356217                 599.734712                1210.685982                 318.602336                 451.649510                 926.092991                 473.726056                2972.515579                3025.023994                 137.795235                 247.744335                 508.538705                 171.463678                8813.931848                8953.287920                1137.868808                 103.578612                 414.333899                 362.166136                8290.490252                4232.263963                 513.844635
  88.0           29.201874                  28.441982                 169.963209                 136.939919                 144.655973                 862.951939                  78.624256                 157.244122                 166.634924                 972.341099                 333.290408                1944.722888                  88.442863                1031.267782                3007.529524                 176.874759                 538.538512                1149.849013                 562.018105                6685.875426                3303.638095                1318.312812                 878.974533                 909.552521                1396.273603                8149.412574                  32.042983                  67.008676                  33.631202                 197.200810                  70.494700                 412.892108                  96.316250                 192.668474                 776.801421                1554.928138                  64.635870                 132.198139                 771.743609                 250.175672                 172.833294                 263.727582                 939.312838                 943.600189                2137.932958                 280.914935                 187.670388               26669.823616                  25.400724                  25.508138                  56.477883                  13.335442                  49.656137                  49.726515                  61.370070                  61.387648                 118.364982                 793.558316                 807.220493                 302.318382                 309.886346                 606.651741                1224.636964                 322.275800                 459.426656                 942.042778                 481.884798                3023.819967                3077.240902                 139.362913                 250.571778                 514.343638                 173.420689                8966.072750                9107.827203                1159.147648                 104.763246                 419.072109                 366.386798                8436.760385                4306.950633                 522.627579
  89.0           29.684185                  28.928376                 172.869889                 139.326831                 147.071905                 877.361819                  79.516834                 159.029195                 168.526922                 983.380194                 337.074690                1966.801718                  89.447358                1042.975910                3041.679330                 178.883487                 547.737610                1169.492587                 571.618432                6800.087079                3360.069634                1333.289643                 888.960370                 919.887558                1412.137860                8241.986355                  32.403663                  67.763277                  34.009956                 199.421178                  71.288979                 417.543037                  97.940308                 195.914914                 789.931399                1581.202948                  65.361191                 133.734265                 780.711813                 253.694746                 175.265540                 267.439003                 955.369535                 959.730198                2174.430668                 285.633569                 190.823028               27126.714112                  25.612185                  25.721410                  57.074857                  13.469664                  50.188259                  50.259430                  62.035824                  62.053596                 119.663404                 802.839988                 816.659934                 305.763908                 313.417945                 613.572146                1238.593789                 325.950937                 467.248442                 958.084142                 490.090372                3075.420305                3129.759225                 140.930631                 253.399421                 520.148992                 175.377833                9119.091445                9263.258038                1180.589895                 105.948123                 423.811259                 370.609377                8584.085385                4382.176177                 531.460617
